files,title,id,authors
"P90-1010.pdf,P90-1010.bib",Mixed Initiative in Dialogue: An Investigation into Discourse Segmentation,P90-1010,"Walker, Marilyn,Whittaker, Steve"
"P90-1011.pdf,P90-1011.bib",Performatives in a Rationally Based Speech Act Theory,P90-1011,"Cohen, Philip R.,Levesquet, Hector J."
"P90-1012.pdf,P90-1012.bib",NORMAL STATE IMPLICATURE,P90-1012,"Green, Nancy L."
"P90-1013.pdf,P90-1013.bib",THE COMPUTATIONAL COMPLEXITY OF AVOIDING CONVERSATIONAL IMPLICATURES,P90-1013,"Reitert, Ehud"
"P90-1014.pdf,P90-1014.bib",Free Indexation: Combinatorial Analysis and A Compositional Algorithm,P90-1014,"Fong, Sandiway"
"P90-1015.pdf,P90-1015.bib",LICENSING AND TREE ADJOINING GRAMMAR IN GOVERNMENT BINDING PARSING,P90-1015,"Frank, Robert"
"P90-1016.pdf,P90-1016.bib",A SIMPLIFIED THEORY OF TENSE REPRESENTATIONS AND CONSTRAINTS ON THEIR COMPOSITION,P90-1016,"Brent, Michael R."
"P90-1017.pdf,P90-1017.bib",SOLVING THEMATIC DIVERGENCES IN MACHINE TRANSLATION,P90-1017,"Dorr, Bonnie"
"P90-1018.pdf,P90-1018.bib",A SYNTACTIC FILTER ON PRONOMINAL ANAPHORA FOR SLOT GRAMMAR,P90-1018,"Lappin, Shalom,McCord, Michael"
"P90-1019.pdf,P90-1019.bib","ACQUIRING CORE MEANINGS OF WORDS, REPRESENTED AS JACKENDOFF-STYLE CONCEPTUAL STRUCTURES, FROM CORRELATED STREAMS OF LINGUISTIC AND NON-LINGUISTIC INPUT",P90-1019,"Siskind, Jeffrey Mark"
"P90-1020.pdf,P90-1020.bib",TYPES IN FUNCTIONAL UNIFICATION GRAMMARS,P90-1020,"Elhadad, Michael"
"P90-1021.pdf,P90-1021.bib",DEFAULTS IN UNIFICATION GRAMLAR,P90-1021,"Bouma, Gosse"
"P90-1022.pdf,P90-1022.bib",EXPRESSING DISJUNCTIVE AND NEGATIVE FEATURE CONSTRAINTS WITH CLASSICAL FIRST-ORDER LOGIC.,P90-1022,"Johnson, Mark"
"P90-1023.pdf,P90-1023.bib",LAZY UNIFICATION,P90-1023,"Godden, Kurt"
"P90-1024.pdf,P90-1024.bib",ZERO MORPHEMES IN UNIFICATION-BASED COMBINATORY CATEGORIAL GRAMMAR,P90-1024,"Aone, Chinatsu,Wittenburg, Kent"
"P90-1025.pdf,P90-1025.bib",THE LIMITS OF UNIFICATION,P90-1025,"Ingria, Robert J. P."
"P90-1026.pdf,P90-1026.bib",Asymmetry in Parsing and Generating with Unification Grammars: Case Studies From ELU,P90-1026,"Russell, Graham,Carroll, John,Warwick, Susan"
"P90-1027.pdf,P90-1027.bib",AUTOMATED INVERSION OF LOGIC GRAMMARS FOR GENERATION,P90-1027,"Strzalkowski, Tomek,Peng, Ping"
"P91-1054.pdf,P91-1054.bib",Current Research in the Development of a Spoken Language Understanding System using PARSEC,P91-1054,Carla B. Zoltowski
"P91-1055.pdf,P91-1055.bib",Syntactic Graphs and Constraint Satisfaction,P91-1055,Jeff Martin
"P91-1056.pdf,P91-1056.bib",An Incremental Connectionist Phrase Structure Parser,P91-1056,James Henderson
"P90-1028.pdf,P90-1028.bib",ALGORITHMS FOR GENERATION IN LAMBEK THEOREM PROVING,P90-1028,"van der Linden, Erik-Jan,Minnen, Guido"
"P90-1029.pdf,P90-1029.bib",Multiple Underlying Systems: Translating User Requests into Programs to Produce Answers,P90-1029,"Bobrow, Robert J.,Resnik, Philip,Weischedel, Ralph M."
"P90-1030.pdf,P90-1030.bib",Computational structure of generative phonology and its relation to language comprehension.,P90-1030,"Ristad, Eric Sven"
"P90-1031.pdf,P90-1031.bib",PARSING THE LOB CORPUS,P90-1031,"Marcken, Carl G. de"
"P90-1032.pdf,P90-1032.bib",AUTOMATICALLY EXTRACTING AND REPRESENTING COLLOCATIONS FOR LANGUAGE GENERATION,P90-1032,"Smadja, Frank A.,McKeown, Kathleen R."
"P90-1033.pdf,P90-1033.bib",DISAMIBIGUATING AND INTERPRETING VERB DEFINITIONS,P90-1033,"Ravin, Yael"
"P90-1034.pdf,P90-1034.bib",NOUN CLASSIFICATION FROM PREDICATE-ARGUMENT STRUCTURES,P90-1034,"Hindle, Donald"
"P90-1035.pdf,P90-1035.bib",DETERMINISTIC LEFT TO RIGHT PARSING OF TREE ADJOINING LANGUAGES,P90-1035,"Schabes, Yves,Vijay-Shanker, K."
"P90-1036.pdf,P90-1036.bib",AN EFFICIENT PARSING ALGORITHM FOR TREE ADJOINING GRAMMARS,P90-1036,"Harbusch, Karin"
"P90-1037.pdf,P90-1037.bib",LEXICAL AND SYNTACTIC RULES IN A TREE ADJOINING GRAMMAR,P90-1037,"Abeille, Anne"
"P90-1038.pdf,P90-1038.bib",BOTTOM-UP PARSING EXTENDING CONTEXT-FREENESS IN A PROCESS GRAMMAR PROCESSOR,P90-1038,"Marino, Massimo"
"P90-1039.pdf,P90-1039.bib",A HARDWARE ALGORITHM FOR HIGH SPEED MORPHEME EXTRACTION AND ITS IMPLEMENTATION,P90-1039,"Fukushima, Toshikazu,Ohyama, Yutaka,Miyai, Hitoshi"
P93-1000.pdf,Front Matter,P93-1000,
"P93-1001.pdf,P93-1001.bib",Char align: A Program for Aligning Parallel Texts at the Character Level,P93-1001,Kenneth Ward Church
"P93-1002.pdf,P93-1002.bib",ALIGNING SENTENCES IN BILINGUAL CORPORA USING LEXICAL INFORMATION,P93-1002,Stanley F. Chen
"P93-1003.pdf,P93-1003.bib",AN ALGORITHM FOR FINDING NOUN PHRASE CORRESPONDENCES IN BILINGUAL CORPORA,P93-1003,Julian Kupiec
"P93-1004.pdf,P93-1004.bib",STRUCTURAL MATCHING OF PARALLEL TEXTS,P93-1004,"Yuji Matsumoto,Takehito Utsuro,Hiroyuki Ishimoto"
"P93-1005.pdf,P93-1005.bib",Towards History-based Grammars: Using Richer Models for Probabilistic Parsing,P93-1005,"Ezra Black,Fred Jelinek,John Lafrerty,David M. Magerman,Robert Mercer,Salim Roukos"
"P93-1006.pdf,P93-1006.bib",USING BRACKETED PARSES TO EVALUATE A GRAMMAR CHECKING APPLICATION,P93-1006,"Richard H. Wojcik,Philip Harrison,John Bremer"
"P93-1007.pdf,P93-1007.bib",A SPEECH-FIRST MODEL FOR REPAIR DETECTION AND CORRECTION,P93-1007,"Christine Nakatani,Julia Hirschberg"
"P93-1008.pdf,P93-1008.bib",GEMINI: A NATURAL LANGUAGE SYSTEM FOR SPOKEN-LANGUAGE UNDERSTANDING,P93-1008,"John Dowding,Jean Mark Gawron,Doug Appelt,John Bear,Lynn Cherny,Robert Moore,Douglas Moran"
"P93-1009.pdf,P93-1009.bib",THE EFFECT OF ESTABLISHING COHERENCE IN ELLIPSIS AND ANAPHORA RESOLUTION,P93-1009,Andrew Kehler
"P93-1010.pdf,P93-1010.bib",TEMPORAL CENTERING,P93-1010,"Megumi Kameyama,Rebecca Passonneau,Massimo Poesio"
"P93-1011.pdf,P93-1011.bib",ASSIGNING A SEMANTIC SCOPE TO OPERATORS,P93-1011,Massimo Poesio
"P93-1012.pdf,P93-1012.bib",TWO KINDS OF METONYMY,P93-1012,David Stallard
"P93-1013.pdf,P93-1013.bib",PLANNING MULTIMODAL DISCOURSE,P93-1013,Wolfgang Wahlster
"P93-1014.pdf,P93-1014.bib",A UNIFICATION-BASED PARSER FOR RELATIONAL GRAMMAR,P93-1014,"David E. Johnson,Adam Meyers,Lawrence S. Moss"
"P93-1015.pdf,P93-1015.bib",Parsing Free Word Order Languages in the Paninian Framework,P93-1015,"Akshar Bharati,Rajeev Sangal"
"P93-1016.pdf,P93-1016.bib",PRINCIPLE-BASED PARSING WITHOUT OVERGENERATION,P93-1016,Dekang Lin
"P93-1017.pdf,P93-1017.bib",Lexicalized Context-Fee Grammars,P93-1017,"Yves Schabes,Richard C. Waters"
"P93-1018.pdf,P93-1018.bib","PARALLEL MULTIPLE CONTEXT-FREE GRAMMARS, FINITE-STATE TRANSLATION SYSTEMS, AND POLYNOMIAL-TIME RECOGNIZABLE SUBCLASSES OF LEXICAL-FUNCTIONAL GRAMMARS",P93-1018,"Hiroyuki Seki,Ryuichi Nakanishi,Yuichi Kaji,Sachiko Ando,Tadao Kasami"
"P93-1019.pdf,P93-1019.bib",FEATURE-BASED ALLOMORPHY,P93-1019,"Hans-Ulrich Krieger,Hannes Pirker"
"P93-1020.pdf,P93-1020.bib",INTENTION-BASED SEGMENTATION: HUMAN RELIABILITY AND CORRELATION WITH LINGUISTIC CUES,P93-1020,"Rebecca J. Passonneau,Diane J. Litman"
"P93-1021.pdf,P93-1021.bib",A LANGUAGE-INDEPENDENT ANAPHORA RESOLUTION SYSTEM FOR UNDERSTANDING MULTILINGUAL TEXTS,P93-1021,"Ghinatsu Aone,Douglas McKee"
"P93-1022.pdf,P93-1022.bib",CONTEXTUAL WORD SIMILARITY AND ESTIMATION FROM SPARSE DATA,P93-1022,"Ido Dagan,Shaul Marcus,Shaul Markovitch"
"P93-1023.pdf,P93-1023.bib",TOWARDS THE AUTOMATIC IDENTIFICATION OF ADJECTIVAL SCALES: CLUSTERING ADJECTIVES ACCORDING TO MEANING,P93-1023,"Vasileios Hatzivassiloglou,Kathleen R. McKeown"
"P93-1024.pdf,P93-1024.bib",DISTRIBUTIONAL CLUSTERING OF ENGLISH WORDS,P93-1024,"Fernando Pereira,Naftali Tishby,Lillian Lee"
"P93-1025.pdf,P93-1025.bib",TRANSFERS OF MEANING,P93-1025,Geoffrey Nunberg
P94-1000.pdf,Front Matter,P94-1000,
"P94-1001.pdf,P94-1001.bib",Discourse Obligations in Dialogue Processing,P94-1001,"David R. Traum,James F. Allen"
"P94-1002.pdf,P94-1002.bib",MULTI-PARAGRAPH SEGMENTATION EXPOSITORY TEXT,P94-1002,Marti A. Hearst
"P94-1003.pdf,P94-1003.bib",PRIORITY UNION AND GENERALIZATION IN DISCOURSE GRAMMARS,P94-1003,"Claire Grover,Chris Brew,Suresh Manandhar,Marc Moens"
"P94-1004.pdf,P94-1004.bib",HIDDEN UNDERSTANDING MODELS OF NATURAL LANGUAGE,P94-1004,"Scott Miller,Robert Bobrow,Robert Ingria,Richard Schwartz"
"P94-1005.pdf,P94-1005.bib",From Strings to Trees to Strings to Trees (Abstract),P94-1005,Aravind K. Joshi
"P94-1006.pdf,P94-1006.bib",INTENTIONS AND INFORMATION IN DISCOURSE,P94-1006,"Nicholas Asher,Alex Lascarides"
"P94-1007.pdf,P94-1007.bib",GENERATING PRECONDITION EXPRESSIONS IN INSTRUCTIONAL TEXT,P94-1007,Keith Vander Linden
"P94-1008.pdf,P94-1008.bib",COMMON TOPICS AND COHERENT SITUATIONS: INTERPRETING ELLIPSIS IN THE CONTEXT OF DISCOURSE INFERENCE,P94-1008,Andrew Kehler
"P94-1009.pdf,P94-1009.bib",A HYBRID REASONING MODEL FOR INDIRECT ANSWERS,P94-1009,"Nancy Green,Sandra Carberry"
"P94-1010.pdf,P94-1010.bib",A STOCHASTIC FINITE-STATE WORD-SEGMENTATION ALGORITHM FOR CHINESE,P94-1010,"Richard Sproat,Chilin Shih,William Gale,Nancy Chang"
"P94-1011.pdf,P94-1011.bib",PRECISE N-GRAM PROBABILITIES FROM STOCHASTIC CONTEXT-FREE GRAMMARS,P94-1011,"Andreas Stolcke,Jonathan Segal"
"P94-1012.pdf,P94-1012.bib",ALIGNING A PARALLEL ENGLISH-CHINESE CORPUS STATISTICALLY WITH LEXICAL CRITERIA,P94-1012,Dekai Wu
"P94-1013.pdf,P94-1013.bib",DECISION LISTS FOR LEXICAL AMBIGUITY RESOLUTION: Application to Accent Restoration in Spanish and French,P94-1013,David Yarowsky
"P94-1014.pdf,P94-1014.bib",AN EMPIRICAL MODEL OF ACKNOWLEDGMENT FOR SPOKEN-LANGUAGE SYSTEMS,P94-1014,"David G. Novick,Stephen Sutton"
"P94-1015.pdf,P94-1015.bib",SPEECH DIALOGUE WITH FACIAL DISPLAYS: MULTIMODAL HUMAN-COMPUTER CONVERSATION,P94-1015,"Katashi Nagao,Akikazu Takeuchi"
"P94-1016.pdf,P94-1016.bib",INTERLEAVING SYNTAX AND SEMANTICS IN AN EFFICIENT BOTTOM-UP PARSER,P94-1016,"John Dowding,Robert Moore,Francois Andryt,Douglas Moran"
"P94-1017.pdf,P94-1017.bib",AN OPTIMAL TABULAR PARSING ALGORITHM,P94-1017,Mark-Jan Nederhof
"P94-1018.pdf,P94-1018.bib",A Psycholinguistically Motivated Parser for CCG,P94-1018,Michael Niv
"P94-1019.pdf,P94-1019.bib",VERB SEMANTICS AND LEXICAL SELECTION,P94-1019,"Zhibiao Wu,Martha Palmer"
"P94-1020.pdf,P94-1020.bib",Word-Sense Disambiguation Using Decomposable Models,P94-1020,"Rebecca Bruce,Janyce Wiebe"
"P94-1021.pdf,P94-1021.bib",Constraint-Based Categorial Grammar,P94-1021,"Gosse Bouma,Gertjan van Noord"
"P94-1022.pdf,P94-1022.bib",Capturing CFLs with Tree Adjoining Grammars,P94-1022,James Rogers
"P94-1023.pdf,P94-1023.bib",ON DETERMINING THE CONSISTENCY OF PARTIAL DESCRIPTIONS OF TREES,P94-1023,Thomas L. Cornell
"P94-1024.pdf,P94-1024.bib",A MARKOV LANGUAGE LEARNING MODEL FOR FINITE PARAMETER SPACES,P94-1024,"Partha Niyogi,Robert C. Berwick"
"P94-1025.pdf,P94-1025.bib",PART-OF-SPEECH TAGGING USING A VARIABLE MEMORY MARKOV MODEL,P94-1025,"Hinrich Schuetze,Yoram Singer"
"P94-1026.pdf,P94-1026.bib",GRAMMAR SPECIALIZATION THROUGH ENTROPY THRESHOLDS,P94-1026,Christer Samuelsson
"P94-1027.pdf,P94-1027.bib",OPTIMIZING THE COMPUTATIONAL LEXICALIZATION OF LARGE GRAMMARS,P94-1027,Christian JACQUEMIN
P92-1000.pdf,Front Matter,P92-1000,
"P92-1001.pdf,P92-1001.bib",INFERRING DISCOURSE RELATIONS IN CONTEXT,P92-1001,"Alex Lascarides,Nicholas Asher,Jon Oberlander"
"P92-1002.pdf,P92-1002.bib",AN ALGORITHM FOR VP ELLIPSIS,P92-1002,Daniel Hardt
"P92-1003.pdf,P92-1003.bib",A SIMPLE BUT USEFUL APPROACH TO CONJUNCT IDENTIFICATION,P92-1003,"Rajeev Agarwal,Lois Boggess"
"P92-1004.pdf,P92-1004.bib",THE REPRESENTATION OF MULTIMODAL USER INTERFACE DIALOGUES USING DISCOURSE PEGS,P92-1004,Susann Luperfoy
"P92-1005.pdf,P92-1005.bib",MONOTONIC SEMANTIC INTERPRETATION,P92-1005,"Hiyan Alshawi,Richard Crouch"
"P92-1006.pdf,P92-1006.bib","Efficiency, Robustness and Accuracy in picky Chart Parsing",P92-1006,"David M. Magerman,Carl Weir"
"P92-1007.pdf,P92-1007.bib",A Functional Approach to Generation with TAG,P92-1007,"Kathleen F. McCoy,K. Vijay-Shanker,Gijoo Yang"
"P92-1008.pdf,P92-1008.bib",INTEGRATING MULTIPLE KNOWLEDGE SOURCES FOR DETECTION AND CORRECTION OF REPAIRS IN HUMAN-COMPUTER DIALOG,P92-1008,"John Bear,John Dowding,Elizabeth Shribergf"
"P92-1009.pdf,P92-1009.bib",CONVERSATIONAL IMPLICATURES IN INDIRECT REPLIES,P92-1009,"Nancy Green,Sandra Carberry"
"P92-1010.pdf,P92-1010.bib",Reasoning with Descriptions of Trees,P92-1010,"James Rogers,K. Vijay-Shanker"
"P92-1011.pdf,P92-1011.bib",COMPARING TWO GRAMMAR-BASED GENERATION ALGORITHMS: A CASE STUDY,P92-1011,"Miroslav Martinovic,Tomek Strzaikowski"
"P92-1012.pdf,P92-1012.bib",RECOGNITION OF LINEAR CONTEXT-FREE REWRITING SYSTEMS,P92-1012,Giorgio Satta
"P92-1013.pdf,P92-1013.bib",ACCOMMODATING CONTEXT CHANGE,P92-1013,"Bonnie Lynn Webber,Breck Baldwin"
"P92-1014.pdf,P92-1014.bib",INFORMATION RETRIEVAL USING ROBUST NATURAL LANGUAGE PROCESSING,P92-1014,"Tomek Strzalkowski,Barbara Vautheyt"
"P92-1015.pdf,P92-1015.bib",Prosodic Aids to Syntactic and Semantic Analysis of Spoken English,P92-1015,"Chris Rowles,Xiuming Huang"
"P92-1016.pdf,P92-1016.bib",UNDERSTANDING NATURAL LANGUAGE INSTRUCTIONS: THE CASE OF PURPOSE CLAUSES,P92-1016,Barbara Di Eugenio
"P92-1017.pdf,P92-1017.bib",INSIDE-OUTSIDE REESTIMATION FROM PARTIALLY BRACKETED CORPORA,P92-1017,"Fernando Pereira,Yves Schabes"
"P92-1018.pdf,P92-1018.bib",Linear Context-Free Rewriting Systems and Deterministic Tree-Walking Transducers,P92-1018,David J. Weir
"P92-1019.pdf,P92-1019.bib",A CONNECTIONIST PARSER FOR STRUCTURE UNIFICATION GRAMMAR,P92-1019,James B. Henderson
"P92-1020.pdf,P92-1020.bib",WOULD I LIE TO YOU? MODELLING MISREPRESENTATION AND CONTEXT IN DIALOGUE,P92-1020,"Carl Gutwin,Gordon McCalla"
"P92-1021.pdf,P92-1021.bib",LATTICE-BASED WORD IDENTIFICATION IN CLARE,P92-1021,David M. Carter
"P92-1022.pdf,P92-1022.bib",An Alternative Conception of Tree-Adjoining Derivation,P92-1022,"Yves Schabes,Stuart M. Shieber"
"P92-1023.pdf,P92-1023.bib",GPSM: A GENERALIZED PROBABILISTIC SEMANTIC MODEL FOR AMBIGUITY RESOLUTION,P92-1023,"Jing-Shin Chang,Yih-Fen Luo,Keh-Yih Su"
"P92-1024.pdf,P92-1024.bib",Development and Evaluation of a Broad-Coverage Probabilistic Grammar of English-Language Computer Manuals,P92-1024,"Ezra Black,John Lafferty,Salim Roukos"
"P92-1025.pdf,P92-1025.bib",MODELING NEGOTIATION SUBDIALOGUES,P92-1025,"Lynn Lambert,Sandra Carberry"
"P92-1026.pdf,P92-1026.bib",HANDLING LINEAR PRECEDENCE CONSTRAINTS BY UNIFICATION,P92-1026,"Judith Engelkamp,Gregor Erbach,Hans Uszkoreit"
"P92-1027.pdf,P92-1027.bib",A UNIFICATION-BASED SEMANTIC INTERPRETATION FOR COORDINATE CONSTRUCTS,P92-1027,Jong C. Park
"P93-1026.pdf,P93-1026.bib",A COMPLETE AND RECURSIVE FEATURE THEORY,P93-1026,"Rolf Backofen,Gert Smolka"
"P93-1027.pdf,P93-1027.bib",ON THE DECIDABILITY OF FUNCTIONAL UNCERTAINTY,P93-1027,Rolf Backofen
"P93-1028.pdf,P93-1028.bib",A LOGICAL SEMANTICS FOR NONMONOTONIC SORTS,P93-1028,"Mark A. Young,Bill Rounds"
"P93-1029.pdf,P93-1029.bib",F-PATR: FUNCTIONAL CONSTRAINTS FOR UNIFICATION-BASED GRAMMARS,P93-1029,Kent Wittenburg
"P93-1030.pdf,P93-1030.bib",QUANTIFICATIONAL DOMAINS AND RECURSIVE CONTEXTS,P93-1030,Barbara Partee
"P93-1031.pdf,P93-1031.bib",TAILORING LEXICAL CHOICE TO THE USER'S VOCABULARY IN MULTIMEDIA EXPLANATION GENERATION,P93-1031,"Kathleen McKeown,Jacques Robin,Michael Tanenblatt"
"P93-1032.pdf,P93-1032.bib",AUTOMATIC ACQUISITION OF A LARGE SUB CATEGORIZATION DICTIONARY FROM CORPORA,P93-1032,Christopher D. Manning
"P93-1033.pdf,P93-1033.bib",AN EMPIRICAL STUD' ON THEMATIC KNOWLEDGE ACQUISITION BASED ON SYNTACTIC CLUES AND HEURISTICS,P93-1033,"Rey-Long Liu,Von-wun Soo"
"P93-1034.pdf,P93-1034.bib",PART-OF-SPEECH INDUCTION FROM SCRATCH,P93-1034,Hinrich Schutze
"P93-1035.pdf,P93-1035.bib",Automatic Grammar Induction and Parsing Free Text: A Transformation-Based Approach,P93-1035,Eric Brill
"P93-1036.pdf,P93-1036.bib",A Competition-Based Explanation of Syntactic Attachment Preferences and Garden Path Phenomena,P93-1036,Suzanne Stevenson
"P93-1037.pdf,P93-1037.bib",A FLEXIBLE APPROACH TO COOPERATIVE RESPONSE GENERATION IN INFORMATION-SEEKING DIALOGUES,P93-1037,"Liliana Ardissono,Alessandro Lombardo,Dario Sestero"
"P93-1038.pdf,P93-1038.bib",IDENTIFYING RELEVANT PRIOR EXPLANATIONS,P93-1038,James A. Rosenblum
"P93-1039.pdf,P93-1039.bib",RESPONDING TO USER QUERIES IN A COLLABORATIVE ENVIRONMENT,P93-1039,Jennifer Chu
"P93-1040.pdf,P93-1040.bib",THE IMPERFECTIVE PARADOX AND TRAJECTORY-OF-MOTION EVENTS,P93-1040,Michael White
"P93-1041.pdf,P93-1041.bib",TEXT SEGMENTATION BASED ON SIMILARITY BETWEEN WORDS,P93-1041,Hideki Kozima
"P93-1042.pdf,P93-1042.bib",HOW DO WE COUNT? THE PROBLEM OF TAGGING PHRASAL VERBS IN PARTS,P93-1042,Nava A. Shaked
"P93-1043.pdf,P93-1043.bib","RAISINS, SULTANAS, AND CURRANTS: LEXICAL CLASSIFICATION AND ABSTRACTION VIA CONTEXT PRIMING",P93-1043,David J. Hutches
"P93-1044.pdf,P93-1044.bib",Guiding an HPSG Parser using Semantic and Pragmatic Expectations,P93-1044,Jim Skon
"P93-1045.pdf,P93-1045.bib",THE FORMAL CONSEQUENCES OF USING VARIABLES IN CCG CATEGORIES,P93-1045,Beryl Hoffman
"P93-1046.pdf,P93-1046.bib",INTEGRATING WORD BOUNDARY IDENTIFICATION WITH SENTENCE UNDERSTANDING,P93-1046,Kok Wee Gan
"P93-1047.pdf,P93-1047.bib",EXTENDING KIMMO'S TWO-LEVEL MODEL OF MORPHOLOGY,P93-1047,Anoop Sarkar
"P94-1028.pdf,P94-1028.bib",COMPACT REPRESENTATIONS BY FINITE-STATE TRANSDUCERS,P94-1028,Mehryar Mohri
"P94-1029.pdf,P94-1029.bib",AN EXTENDED THEORY OF HEAD-DRIVEN PARSING,P94-1029,"Mark-Jan Nederhof,Giorgio Satta"
"P94-1030.pdf,P94-1030.bib",GENERALIZED CHART ALGORITHM: AN EFFICIENT PROCEDURE FOR COST-BASED ABDUCTION,P94-1030,Yasuharu Den
"P94-1031.pdf,P94-1031.bib",Tricolor DAGs for Machine Translation,P94-1031,Koichi Takeda
"P94-1032.pdf,P94-1032.bib",Extracting Noun Phrases from Large-Scale Texts: A Hybrid Approach and Its Automatic Evaluation,P94-1032,"Kuang-hua Chen,Hsin-Hsi Chen"
"P94-1033.pdf,P94-1033.bib",A Corpus-based Approach to Automatic Compound Extraction,P94-1033,"Keh-Yih Su,Ming-Wen Wu,Jing-Shin Chang"
"P94-1034.pdf,P94-1034.bib",An Automatic Treebank Conversion Algorithm for Corpus Sharing,P94-1034,"Jong-Nae Wang,Jing-Shin Chang,Keh-Yih Su"
"P94-1035.pdf,P94-1035.bib",An Attributive Logic of Set Descriptions and Set Operations,P94-1035,Suresh Manandhar
"P94-1036.pdf,P94-1036.bib",Multiset-Valued Linear Index Grammars: Imposing Dominance Constraints on Derivations,P94-1036,Owen Rambow
"P94-1037.pdf,P94-1037.bib","Optimality Theory: Universal Grammar, Learning and Parsing Algorithms, and Connectionist Foundations (Abstract)",P94-1037,"Paul Smolensky,Bruce Tesar"
"P94-1038.pdf,P94-1038.bib",Similarity-Based Estimation of Word Cooccurrence Probabilities,P94-1038,"Ido Dagan,Fernando Pereira,Lillian Lee"
"P94-1039.pdf,P94-1039.bib",Acquiring Receptive Morphology: A Connectionist Model,P94-1039,Michael Gasser
"P94-1040.pdf,P94-1040.bib",RELATING COMPLEXITY TO PRACTICAL PERFORMANCE IN PARSING WITH WIDE-COVERAGE UNIFICATION GRAMMARS,P94-1040,John Carroll
"P94-1041.pdf,P94-1041.bib",Detecting and Correcting Speech Repairs,P94-1041,"Peter Heeman,James Allen"
"P94-1042.pdf,P94-1042.bib",A COMPUTATIONAL VIEW OF THE COGNITIVE SEMANTICS OF SPATIAL PREPOSITIONS,P94-1042,"Patrick Olivier,Jun-ichi Tsujii"
"P94-1043.pdf,P94-1043.bib",REAPING THE BENEFITS OF INTERACTIVE SYNTAX AND SEMANTICS,P94-1043,Kavi Mahesh
"P94-1044.pdf,P94-1044.bib",GRADED UNIFICATION: A FRAMEWORK FOR INTERACTIVE PROCESSING,P94-1044,Albert Kim
"P94-1045.pdf,P94-1045.bib",AN INTEGRATED HEURISTIC SCHEME FOR PARTIAL PARSE EVALUATION,P94-1045,Alon Lavie
"P94-1046.pdf,P94-1046.bib",TEMPORAL RELATIONS: REFERENCE OR DISCOURSE COHERENCE?,P94-1046,Andrew Kehler
"P94-1047.pdf,P94-1047.bib",SIMULATING CHILDREN'S NULL SUBJECTS: AN EARLY LANGUAGE GENERATION MODEL,P94-1047,Carole T. Boster
"P94-1048.pdf,P94-1048.bib",DUAL-CODING THEORY AND CONNECTIONIST LEXICAL SELECTION,P94-1048,Ye-Yi Wang
"P94-1049.pdf,P94-1049.bib",Integration Of Visual Inter-word Constraints And Linguistic Knowledge In Degraded Text Recognition,P94-1049,Tao Hong
"P94-1050.pdf,P94-1050.bib",AN AUTOMATIC METHOD OF FINDING TOPIC BOUNDARIES,P94-1050,Jeffrey C. Reynar
"P94-1051.pdf,P94-1051.bib",AUTOMATIC ALIGNMENT IN PARALLEL CORPORA,P94-1051,"Harris Papageorgiou,Lambros Cranias,Stelios Piperidis"
"P94-1052.pdf,P94-1052.bib",CONCEPTUAL ASSOCIATION FOR COMPOUND NOUN ANALYSIS,P94-1052,Mark Lauer
"P92-1028.pdf,P92-1028.bib",CORPUS-BASED ACQUISITION OF RELATIVE PRONOUN DISAMBIGUATION HEURISTICS,P92-1028,Claire Cardie
"P92-1029.pdf,P92-1029.bib",Association-based Natural Language Processing with Neural Networks,P92-1029,"KIMURA Kazuhiro,UZUOKA Takashi,AMANO Sin-ya"
"P92-1030.pdf,P92-1030.bib","TENSE TREES AS THE ""FINE STRUCTURE"" OF DISCOURSE",P92-1030,"Chung Hee Hwang,Lenhart K. Schubert"
"P92-1031.pdf,P92-1031.bib",CONNECTION RELATIONS AND QUANTIFIER SCOPE,P92-1031,Longin Latecki
"P92-1032.pdf,P92-1032.bib",Estimating Upper and Lower Bounds on the Performance of Word-Sense Disambiguation Programs,P92-1032,"William Gale,Kenneth Ward Church,David Yarowsky"
"P92-1033.pdf,P92-1033.bib",A PARAMETERIZED APPROACH TO INTEGRATING ASPECT WITH LEXICAL-SEMANTICS FOR MACHINE TRANSLATION,P92-1033,Bonnie J. Dorr
"P92-1034.pdf,P92-1034.bib",USING CLASSIFICATION TO GENERATE TEXT,P92-1034,"Ehud Reiter,Chris Mellish"
"P92-1035.pdf,P92-1035.bib",CORRECTING ILLEGAL NP OMISSIONS USING LOCAL FOCUS,P92-1035,Linda Z. Suril
"P92-1036.pdf,P92-1036.bib",SOME PROBLEMATIC CASES OF VP ELLIPSIS,P92-1036,Daniel Hardt
"P92-1037.pdf,P92-1037.bib",UNDERSTANDING REPETITION IN NATURAL LANGUAGE INSTRUCTIONS - THE SEMANTICS OF EXTENT,P92-1037,Sheila Rock
"P92-1038.pdf,P92-1038.bib",ON THE INTONATION OF MONO- AND DI-SYLLABIC WORDS WITHIN THE DISCOURSE FRAMEWORK OF CONVERSATIONAL GAMES,P92-1038,Jacqueline C. Kowtko
"P92-1039.pdf,P92-1039.bib",RIGHT ASSOCIATION REVISITED,P92-1039,Michael Niv
"P92-1040.pdf,P92-1040.bib",AN LR CATEGORY-NEUTRAL PARSER WITH LEFT CORNER PREDICTION,P92-1040,Paola Merlo
"P92-1041.pdf,P92-1041.bib",INCREMENTAL DEPENDENCY PARSING,P92-1041,Vincenzo Lombardo
